Actor
Michael Douglas ‡
William Hurt
Marcello Mastroianni
Jack Nicholson
Robin Williams
Dustin Hoffman ‡
Gene Hackman
Tom Hanks
Edward James Olmos
Max von Sydow
Daniel Day-Lewis ‡
Kenneth Branagh
Tom Cruise
Morgan Freeman
Robin Williams
Jeremy Irons ‡
Kevin Costner
Robert De Niro
Gérard Depardieu
Richard Harris
Anthony Hopkins ‡
Warren Beatty
Robert De Niro
Nick Nolte
Robin Williams
Al Pacino ‡
Robert Downey Jr.
Clint Eastwood
Stephen Rea
Denzel Washington
Tom Hanks ‡
Daniel Day-Lewis
Laurence Fishburne
Anthony Hopkins
Liam Neeson
Tom Hanks ‡
Morgan Freeman
Nigel Hawthorne
Paul Newman
John Travolta
Nicolas Cage ‡
Richard Dreyfuss
Anthony Hopkins
Sean Penn
Massimo Troisi †
Geoffrey Rush ‡
Tom Cruise
Ralph Fiennes
Woody Harrelson
Billy Bob Thornton
Jack Nicholson ‡
Matt Damon
Robert Duvall
Peter Fonda
Dustin Hoffman
Roberto Benigni ‡
Tom Hanks
Ian McKellen
Nick Nolte
Edward Norton
Kevin Spacey ‡
Russell Crowe
Richard Farnsworth
Sean Penn
Denzel Washington
Russell Crowe ‡
Javier Bardem
Tom Hanks
Ed Harris
Geoffrey Rush
Denzel Washington ‡
Russell Crowe
Sean Penn
Will Smith
Tom Wilkinson
Adrien Brody ‡
Nicolas Cage
Michael Caine
Daniel Day-Lewis
Jack Nicholson
Sean Penn ‡
Johnny Depp
Ben Kingsley
Jude Law
Bill Murray
Jamie Foxx ‡
Don Cheadle
Johnny Depp
Leonardo DiCaprio
Clint Eastwood
Philip Seymour Hoffman ‡
Terrence Howard
Heath Ledger
Joaquin Phoenix
David Strathairn
Forest Whitaker ‡
Leonardo DiCaprio
Ryan Gosling
Peter O'Toole
Will Smith
Daniel Day-Lewis ‡
George Clooney
Johnny Depp
Tommy Lee Jones
Viggo Mortensen
Sean Penn ‡
Richard Jenkins
Frank Langella
Brad Pitt
Mickey Rourke
Jeff Bridges ‡
George Clooney
Colin Firth
Morgan Freeman
Jeremy Renner
Colin Firth ‡
Javier Bardem
Jeff Bridges
Jesse Eisenberg
James Franco
Jean Dujardin ‡
Demián Bichir
George Clooney
Gary Oldman
Brad Pitt
Daniel Day-Lewis ‡
Bradley Cooper
Hugh Jackman
Joaquin Phoenix
Denzel Washington
Matthew McConaughey ‡
Christian Bale
Bruce Dern
Leonardo DiCaprio
Chiwetel Ejiofor
Eddie Redmayne ‡
Steve Carell
Bradley Cooper
Benedict Cumberbatch
Michael Keaton
Leonardo DiCaprio ‡
Bryan Cranston
Matt Damon
Michael Fassbender
Eddie Redmayne
Casey Affleck ‡
Andrew Garfield
Ryan Gosling
Viggo Mortensen
Denzel Washington
Gary Oldman ‡
Timothée Chalamet
Daniel Day-Lewis
Daniel Kaluuya
Denzel Washington
Rami Malek ‡
Christian Bale
Bradley Cooper
Willem Dafoe
Viggo Mortensen
Joaquin Phoenix ‡
Antonio Banderas
Leonardo DiCaprio
Adam Driver
Jonathan Pryce
Anthony Hopkins ‡
Riz Ahmed
Chadwick Boseman †
Gary Oldman
Steven Yeun
Will Smith ‡
Javier Bardem
Benedict Cumberbatch
Andrew Garfield
Denzel Washington
Brendan Fraser ‡
Austin Butler
Colin Farrell
Paul Mescal
Bill Nighy
Cillian Murphy ‡
Bradley Cooper
Colman Domingo
Paul Giamatti
Jeffrey Wright
Adrien Brody ‡
Timothée Chalamet
Colman Domingo
Ralph Fiennes
Sebastian Stan
