Actress
Cher ‡
Glenn Close
Holly Hunter
Sally Kirkland
Meryl Streep
Jodie Foster ‡
Glenn Close
Melanie Griffith
Meryl Streep
Sigourney Weaver
Jessica Tandy ‡
Isabelle Adjani
Pauline Collins
Jessica Lange
Michelle Pfeiffer
Kathy Bates ‡
Anjelica Huston
Julia Roberts
Meryl Streep
Joanne Woodward
Jodie Foster ‡
Geena Davis
Laura Dern
Bette Midler
Susan Sarandon
Emma Thompson ‡
Catherine Deneuve
Mary McDonnell
Michelle Pfeiffer
Susan Sarandon
Holly Hunter ‡
Angela Bassett
Stockard Channing
Emma Thompson
Debra Winger
Jessica Lange ‡
Jodie Foster
Miranda Richardson
Winona Ryder
Susan Sarandon
Susan Sarandon ‡
Elisabeth Shue
Sharon Stone
Meryl Streep
Emma Thompson
Frances McDormand ‡
Brenda Blethyn
Diane Keaton
Kristin Scott Thomas
Emily Watson
Helen Hunt ‡
Helena Bonham Carter
Julie Christie
Judi Dench
Kate Winslet
Gwyneth Paltrow ‡
Cate Blanchett
Fernanda Montenegro
Meryl Streep
Emily Watson
Hilary Swank ‡
Annette Bening
Janet McTeer
Julianne Moore
Meryl Streep
Julia Roberts ‡
Joan Allen
Juliette Binoche
Ellen Burstyn
Laura Linney
Halle Berry ‡
Judi Dench
Nicole Kidman
Sissy Spacek
Renée Zellweger
Nicole Kidman ‡
Salma Hayek
Diane Lane
Julianne Moore
Renée Zellweger
Charlize Theron ‡
Keisha Castle-Hughes
Diane Keaton
Samantha Morton
Naomi Watts
Hilary Swank ‡
Annette Bening
Catalina Sandino Moreno
Imelda Staunton
Kate Winslet
Reese Witherspoon ‡
Judi Dench
Felicity Huffman
Keira Knightley
Charlize Theron
Helen Mirren ‡
Penélope Cruz
Judi Dench
Meryl Streep
Kate Winslet
Marion Cotillard ‡
Cate Blanchett
Julie Christie
Laura Linney
Elliot Page[D]
Kate Winslet ‡
Anne Hathaway
Angelina Jolie
Melissa Leo
Meryl Streep
Sandra Bullock ‡
Helen Mirren
Carey Mulligan
Gabourey Sidibe
Meryl Streep
Natalie Portman ‡
Annette Bening
Nicole Kidman
Jennifer Lawrence
Michelle Williams
Meryl Streep ‡
Glenn Close
Viola Davis
Rooney Mara
Michelle Williams
Jennifer Lawrence ‡
Jessica Chastain
Emmanuelle Riva
Quvenzhané Wallis
Naomi Watts
Cate Blanchett ‡
Amy Adams
Sandra Bullock
Judi Dench
Meryl Streep
Julianne Moore ‡
Marion Cotillard
Felicity Jones
Rosamund Pike
Reese Witherspoon
Brie Larson ‡
Cate Blanchett
Jennifer Lawrence
Charlotte Rampling
Saoirse Ronan
Emma Stone ‡
Isabelle Huppert
Ruth Negga
Natalie Portman
Meryl Streep
Frances McDormand ‡
Sally Hawkins
Margot Robbie
Saoirse Ronan
Meryl Streep
Olivia Colman ‡
Yalitza Aparicio
Glenn Close
Lady Gaga
Melissa McCarthy
Renée Zellweger ‡
Cynthia Erivo
Scarlett Johansson
Saoirse Ronan
Charlize Theron
Frances McDormand ‡
Viola Davis
Andra Day
Vanessa Kirby
Carey Mulligan
Jessica Chastain ‡
Olivia Colman
Penélope Cruz
Nicole Kidman
Kristen Stewart
Michelle Yeoh ‡
Cate Blanchett
Ana de Armas
Andrea Riseborough
Michelle Williams
Emma Stone ‡
Annette Bening
Lily Gladstone
Sandra Hüller
Carey Mulligan
Mikey Madison ‡
Cynthia Erivo
Karla Sofía Gascón
Demi Moore
Fernanda Torres
