Film,Film Studio/Producer(s)
Wings,"Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)"
7th Heaven,"Fox (William Fox, producer)"
The Racket,"The Caddo Company (Howard Hughes, producer)"
The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)"
Alibi,"Feature Productions (Roland West, producer)"
The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)"
In Old Arizona,"Fox (Winfield Sheehan, producer)"
The Patriot,Paramount Famous Lasky
Wings,"Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)"
7th Heaven,"Fox (William Fox, producer)"
The Racket,"The Caddo Company (Howard Hughes, producer)"
The Broadway Melody,"Metro-Goldwyn-Mayer (Irving Thalberg & Lawrence Weingarten, producers)"
Alibi,"Feature Productions (Roland West, producer)"
The Hollywood Revue,"Metro-Goldwyn-Mayer (Irving Thalberg & Harry Rapf, producers)"
In Old Arizona,"Fox (Winfield Sheehan, producer)"
The Patriot,Paramount Famous Lasky
All Quiet on the Western Front,"Universal (Carl Laemmle Jr., producer)"
The Big House,"Cosmopolitan (Irving Thalberg, producer)"
Disraeli,"Warner Bros. (Jack L. Warner & Darryl F. Zanuck, producers)"
The Divorcee,"Metro-Goldwyn-Mayer (Robert Z. Leonard, producer)"
The Love Parade,"Paramount Famous Lasky (Ernst Lubitsch, producer)"
Cimarron,"RKO Radio (William LeBaron, producer)"
East Lynne,Fox
The Front Page,"The Caddo Company (Howard Hughes & Lewis Milestone, producers)"
Skippy,"Paramount Publix (Jesse L. Lasky, B. P. Schulberg, & Adolph Zukor, producers)"
Trader Horn,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)"
Grand Hotel,"Metro-Goldwyn-Mayer (Irving Thalberg, producer)"
Arrowsmith,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
Bad Girl,Fox
The Champ,"Metro-Goldwyn-Mayer (King Vidor, producer)"
Five Star Final,"First National (Hal B. Wallis, producer)"
One Hour with You,"Paramount Publix (Ernst Lubitsch, producer)"
Shanghai Express,"Paramount Publix (Adolph Zukor, producer)"
The Smiling Lieutenant,"Paramount Publix (Ernst Lubitsch, producer)"
Cavalcade,"Fox (Frank Lloyd & Winfield Sheehan, producers)"
42nd Street,Warner Bros.
A Farewell to Arms,Paramount
I Am a Fugitive from a Chain Gang,Warner Bros.
Lady for a Day,Columbia
Little Women,RKO Radio
The Private Life of Henry VIII,London Films
She Done Him Wrong,Paramount
Smilin' Through,Metro-Goldwyn-Mayer
State Fair,Fox
It Happened One Night,"Columbia (Frank Capra & Harry Cohn, producer)"
The Barretts of Wimpole Street,Metro-Goldwyn-Mayer
Cleopatra,Paramount
Flirtation Walk,First National
The Gay Divorcee,RKO Radio
Here Comes the Navy,Warner Bros.
The House of Rothschild,20th Century
Imitation of Life,Universal
One Night of Love,Columbia
The Thin Man,Metro-Goldwyn-Mayer
Viva Villa!,Metro-Goldwyn-Mayer
The White Parade,Jesse L. Lasky (production company)
Mutiny on the Bounty,"Metro-Goldwyn-Mayer (Frank Lloyd & Irving Thalberg, producers)"
Alice Adams,RKO Radio
Broadway Melody of 1936,Metro-Goldwyn-Mayer
Captain Blood,Cosmopolitan
David Copperfield,Metro-Goldwyn-Mayer
The Informer,RKO Radio
The Lives of a Bengal Lancer,Paramount
A Midsummer Night's Dream,Warner Bros.
Les Misérables,20th Century
Naughty Marietta,Metro-Goldwyn-Mayer
Ruggles of Red Gap,Paramount
Top Hat,RKO Radio
The Great Ziegfeld,"Metro-Goldwyn-Mayer (Hunt Stromberg, producer)"
Anthony Adverse,Warner Bros.
Dodsworth,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
Libeled Lady,Metro-Goldwyn-Mayer
Mr. Deeds Goes to Town,Columbia
Romeo and Juliet,Metro-Goldwyn-Mayer
San Francisco,Metro-Goldwyn-Mayer
The Story of Louis Pasteur,Cosmopolitan
A Tale of Two Cities,Metro-Goldwyn-Mayer
Three Smart Girls,Universal
The Life of Emile Zola,"Warner Bros. (Henry Blanke, producer)"
The Awful Truth,Columbia
Captains Courageous,Metro-Goldwyn-Mayer
Dead End,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
The Good Earth,Metro-Goldwyn-Mayer
In Old Chicago,20th Century-Fox
Lost Horizon,Columbia
One Hundred Men and a Girl,Universal
Stage Door,RKO Radio
A Star Is Born,Selznick International Pictures
You Can't Take It with You,"Columbia (Frank Capra, producer)"
The Adventures of Robin Hood,Warner Bros.-First National
Alexander's Ragtime Band,20th Century-Fox
Boys Town,Metro-Goldwyn-Mayer
The Citadel,Metro-Goldwyn-Mayer
Four Daughters,Warner Bros.-First National
Grand Illusion,Réalisation d'art Cinématographique
Jezebel,Warner Bros.
Pygmalion,Metro-Goldwyn-Mayer
Test Pilot,Metro-Goldwyn-Mayer
Gone with the Wind,"Selznick International Pictures (David O. Selznick, producer)"
Dark Victory,Warner Bros.-First National
"Goodbye, Mr. Chips",Metro-Goldwyn-Mayer
Love Affair,RKO Radio
Mr. Smith Goes to Washington,Columbia
Ninotchka,Metro-Goldwyn-Mayer
Of Mice and Men,Hal Roach (production company)
Stagecoach,Walter Wanger (production company)
The Wizard of Oz,Metro-Goldwyn-Mayer
Wuthering Heights,Samuel Goldwyn Productions
Rebecca,"Selznick International Pictures (David O. Selznick, producer)"
"All This, and Heaven Too",Warner Bros.
Foreign Correspondent,Walter Wanger (production company)
The Grapes of Wrath,20th Century-Fox
The Great Dictator,Charles Chaplin Productions
Kitty Foyle,RKO Radio
The Letter,Warner Bros.
The Long Voyage Home,Argosy-Wanger
Our Town,Sol Lesser (production company)
The Philadelphia Story,Metro-Goldwyn-Mayer
How Green Was My Valley,"20th Century-Fox (Darryl F. Zanuck, producer)"
Blossoms in the Dust,Metro-Goldwyn-Mayer
Citizen Kane,Mercury
Here Comes Mr. Jordan,Columbia
Hold Back the Dawn,Paramount
The Little Foxes,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
The Maltese Falcon,Warner Bros.
One Foot in Heaven,Warner Bros.
Sergeant York,Warner Bros.
Suspicion,RKO Radio
Mrs. Miniver,"Metro-Goldwyn-Mayer (Sidney Franklin, producer)"
49th Parallel[83],Ortus
Kings Row,Warner Bros.
The Magnificent Ambersons,Mercury
The Pied Piper,20th Century-Fox
The Pride of the Yankees,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
Random Harvest,Metro-Goldwyn-Mayer
The Talk of the Town,Columbia
Wake Island,Paramount
Yankee Doodle Dandy,Warner Bros.
Casablanca,"Warner Bros. (Hal B. Wallis, producer)"
For Whom the Bell Tolls,Paramount
Heaven Can Wait,20th Century-Fox
The Human Comedy,Metro-Goldwyn-Mayer
In Which We Serve,Two Cities Films
Madame Curie,Metro-Goldwyn-Mayer
The More the Merrier,Columbia
The Ox-Bow Incident,20th Century-Fox
The Song of Bernadette,20th Century-Fox
Watch on the Rhine,Warner Bros.
Going My Way,"Paramount (Leo McCarey, producer)"
Double Indemnity,Paramount
Gaslight,Metro-Goldwyn-Mayer
Since You Went Away,"Selznick International Pictures (David O. Selznick, producer)"
Wilson,20th Century-Fox
The Lost Weekend,"Paramount (Charles Brackett, producer)"
Anchors Aweigh,Metro-Goldwyn-Mayer
The Bells of St. Mary's,Rainbow Productions
Mildred Pierce,Warner Bros.
Spellbound,"Selznick International Pictures (David O. Selznick, producer)"
The Best Years of Our Lives,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
Henry V,Two Cities Films
It's a Wonderful Life,Liberty Films
The Razor's Edge,20th Century-Fox
The Yearling,Metro-Goldwyn-Mayer
Gentleman's Agreement,"20th Century-Fox (Darryl F. Zanuck, producer)"
The Bishop's Wife,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)"
Crossfire,RKO Radio
Great Expectations,J. Arthur Rank-Cineguild
Miracle on 34th Street,20th Century-Fox
Hamlet,"J. Arthur Rank-Two Cities Films (Laurence Olivier, producer)"
