Title,Cost (est.)(millions)
Star Wars: The Force Awakens,*$447
Jurassic World: Fallen Kingdom,*$432
Star Wars: The Rise of Skywalker,*$416
Fast X,*$379
Pirates of the Caribbean: On Stranger Tides,*$379
Avengers: Age of Ultron,*$365
Avengers: Endgame,$356
Doctor Strange in the Multiverse of Madness,*$351
Avatar: The Way of Water,$350
Ant-Man and the Wasp: Quantumania,*$330
Indiana Jones and the Dial of Destiny,*$326
Avengers: Infinity War,$325
The Electric State,$320
The Marvels,*$307
Pirates of the Caribbean: At World's End,$300
Justice League,$300
Star Wars: The Last Jedi,$300
Mission: Impossible – The Final Reckoning,$300
Mission: Impossible – Dead Reckoning Part One,$291
Solo: A Star Wars Story,*$271
Snow White,$269
Jurassic World Dominion,*$265
John Carter,*$264
Batman v Superman: Dawn of Justice,$263
Tangled,$260
Spider-Man 3,*$258
Beauty and the Beast,*$255
Eternals,*$254
Harry Potter and the Half-Blood Prince,$250
Furious 7,$250
The Fate of the Furious,$250
The Lion King,$250
No Time to Die,$250
Thor: Love and Thunder,$250
Black Panther: Wakanda Forever,$250
Guardians of the Galaxy Vol. 3,$250
Gladiator II,$250
Black Widow,*$248
Spectre,$245
The Little Mermaid,*$240
Avatar,*$237
Rogue One,*$232
The Dark Knight Rises,$230
Captain America: Civil War,$230
Pirates of the Caribbean: Dead Men Tell No Tales,$230
Maleficent,$226
The Chronicles of Narnia: Prince Caspian,*$225
The Lone Ranger,*$225
Pirates of the Caribbean: Dead Man's Chest,$225
Man of Steel,$225
Superman,$225
The Avengers,$220
The Hobbit: The Desolation of Smaug,*$217
Transformers: The Last Knight,*$217
Men in Black 3,*$215
Oz the Great and Powerful,*$215
X-Men: The Last Stand,$210
Transformers: Age of Extinction,$210
Battleship,*$209
Dawn of the Planet of the Apes,$209
The Hobbit: The Battle of the Five Armies,$209
King Kong,$207
X-Men: Days of Future Past,$205
Tenet,$205
Aquaman and the Lost Kingdom,$205
Superman Returns,*$204
